last_edited_date,taxonomic_order,category,common_name,scientific_name,subspecies_common_name,subspecies_scientific_name,observation_count,breeding_bird_atlas_code,breeding_bird_atlas_category,age_sex,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,latitude,longitude,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,has_media,approved,reviewed,reason,trip_comments,FiF,Dir,Mig,species_comments,near_ocean
51:06.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,33,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,8/5/16,9:02:00,obsr304361,S30984118,Traveling,P22,EBIRD,331,26.499,NA,1,1,,0,1,0,,"<br />Submitted from eBird for iOS, version 1.2.5 Build 73",NA,,NA,All but 1 were along 96th street in the morning.,TRUE
03:57.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,25,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,9/24/16,10:00:00,obsr425489,S31741313,Traveling,P22,EBIRD,330,10,NA,2,1,,0,1,0,,96th Street to 112th Street,NA,,NA,Along 96th Street and 112th Street,TRUE
59:30.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,32,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,9/18/16,15:16:00,obsr611284,S31655552,Traveling,P22,EBIRD,180,3,NA,1,1,,0,1,0,,"Cloudy, wind, rain   m--Hwy 88th to 96th to dyke to 104th--Wait abt 90 mins before tide sent birds in--High numbers of ducks, peeps, shore birds, gulls -- much more than the evening of Sept 15, covering mudflats from 96th to 104th, close up to the dyke, but interrupted by pouring rain plus poor light",NA,,NA,Along 96th,TRUE
00:30.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,30,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,9/15/16,15:50:00,obsr611284,S31602192,Traveling,P22,EBIRD,205,3.5,NA,1,1,,0,1,0,,"Fair, full moon  m--Hwy at 88th to 96th to dyke to pilings to 96th to pilings to 96th, joined many birders",NA,,NA,Along 96th,TRUE
01:04.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,36,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,NA,,,Reifel Bird Sanctuary,L124345,H,49.1,-123.185,9/19/16,9:30:00,obsr130953,S31700526,Traveling,P22,EBIRD,420,3.219,NA,1,1,,0,1,0,,Includes sightings on Westham Island and Robertson Roads where noted.,NA,,NA,30 estimated on Westham Island Road in AM on way to Reifel,TRUE
25:39.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,50,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,11/25/16,11:30:00,obsr611284,S32722922,Traveling,P22,EBIRD,300,11,NA,1,1,,1,1,0,,Cloudy   m--Return Hwy to 96th to dyke to 104th,NA,,NA,96th & 104th,TRUE
37:38.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,50,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,,5,,,Vancouver--New Brighton Park,L1906109,H,49.2900958,-123.0376894,1/14/17,13:00:00,obsr616722,S33674302,Traveling,P22,EBIRD,30,1,NA,1,1,,1,1,0,,,NA,,NA,Almost guaranteed location to find these birds,TRUE
34:30.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,NA,,,Reifel Bird Sanctuary,L124345,H,49.1,-123.185,1/8/17,11:25:00,obsr611284,S33552751,Traveling,P22,EBIRD,80,1,NA,2,1,,0,1,0,,Rain   m--Including the wayin & wayout on the island,NA,,NA,Wayin,TRUE
42:27.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,120,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,,5,,,Vancouver--New Brighton Park,L1906109,H,49.2900958,-123.0376894,2/4/17,11:45:00,obsr108656,S34155632,Traveling,P22,EBIRD,60,2,NA,1,1,,0,1,1,,,NA,,NA,Half were perched in trees and the other half were along the railway tracks with crows and house sparrows.,TRUE
51:16.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,25,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,8/12/17,10:00:00,obsr425489,S38611559,Traveling,P22,EBIRD,180,5,NA,2,1,,0,1,0,,"Matthews Exchange, down 96th to Boundary Bay, along Boundary Bay to 112th and up to Highway 10 - very windy",NA,,NA,Along 96th,TRUE
55:02.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,30,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,8/30/17,9:45:00,obsr425489,S38913288,Traveling,P22,EBIRD,270,6,NA,2,1,,0,1,0,,Birding by bus - Matthews Exchange to foot of 104th and back,NA,,NA,Along 96th,TRUE
00:35.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,15,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay - 96th to 104th Sts., Delta",L340159,H,49.0730526,-122.9484991,9/16/17,16:00:00,obsr643166,S39222308,Traveling,P22,EBIRD,120,2,NA,2,1,,0,1,0,,Nice to meet many keen birders of Metro Vancouver,NA,,NA,great number along 104th St and 96th St,TRUE
07:39.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,30,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,NA,,,Reifel Bird Sanctuary,L124345,H,49.1,-123.185,10/1/17,15:30:00,obsr643166,S39509305,Traveling,P22,EBIRD,90,2.5,NA,2,1,,0,1,0,,,NA,,NA,Westham Island,TRUE
45:10.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,11,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,,5,,,Hastings Park Sanctuary,L312198,H,49.2826731,-123.0417905,2/19/18,15:39:00,obsr842097,S43029207,Traveling,P22,EBIRD,45,1,NA,1,1,,0,1,0,,,NA,,NA,"What, are they taking over?",TRUE
04:07.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,41,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,Iona Island (general),L261851,H,49.2213299,-123.2110997,4/24/18,10:22:00,obsr59106,S44902890,Traveling,P22,EBIRD,59,3.193,NA,1,1,,0,1,0,,,NA,,NA,A huge flock was feeding on the ground,TRUE
26:14.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,,5,,,VOKRA Barn,L7048342,P,49.222604,-123.179042,4/28/18,17:25:00,obsr448353,S45050065,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,0,,,NA,,NA,"Most I’ve seen here. Usually just one or two, so I was surprised when I turned the corner to the wash stall and ten doves were feeding in the grain.",TRUE
08:45.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,80,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,8/18/18,10:30:00,obsr353695,S47940768,Traveling,P22,EBIRD_CAN,180,5,NA,2,1,,0,1,0,,along the dyke from 104th to 96th to the mansion,NA,,NA,Mostly seen along 96th,TRUE
58:53.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,18,,,,Canada,CA,British Columbia,CA-BC,Metro Vancouver,CA-BC-GV,CA-BC_017,5,,,"Boundary Bay, Delta",L339316,H,49.0659373,-122.9678249,8/18/18,10:15:00,obsr425489,S47932743,Traveling,P22,EBIRD,210,6,NA,2,1,,0,1,0,,Matthews Exchange down 96th to Boundary Bay along to 104th and back along 96th  to Matthews Exchange,NA,,NA,Mostly along 96th,TRUE
57:08.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,Canada,CA,British Columbia,CA-BC,Kitimat-Stikine,CA-BC-KS,,5,,,Stewart,L2328400,P,55.940356,-129.9862862,7/2/13,8:00:00,obsr424052,S14974925,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,0,,spent 10 days working in stewart. lots of time walking around and observing,NA,,NA,i have seen that this species has been overwintering in Stewart since 2006,TRUE
38:02.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,15,,,,Canada,CA,British Columbia,CA-BC,Mount Waddington,CA-BC-MW,,NA,,,1st Street Sointula,L1477515,P,50.6237697,-127.0166578,5/21/12,6:25:00,obsr309592,S10813076,Stationary,P21,EBIRD,190,NA,NA,1,1,,0,1,0,,cloudy showers SE wind,NA,,NA,One significantly lighter colour (whiter throughout) and may be an African varient,TRUE
15:40.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,32,,,,Canada,CA,British Columbia,CA-BC,Mount Waddington,CA-BC-MW,,NA,,,1st Street Sointula,L1477515,P,50.6237697,-127.0166578,5/28/12,8:00:00,obsr309592,S10867345,Incidental,P20,EBIRD,NA,NA,NA,1,1,,0,1,0,,Showers light breeze,NA,,NA,May be one African Collared-Dove with this flock,TRUE
38:01.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,27,,,,Canada,CA,British Columbia,CA-BC,Mount Waddington,CA-BC-MW,,NA,,,1st Street Sointula,L1477515,P,50.6237697,-127.0166578,5/18/12,7:00:00,obsr309592,S10787086,Stationary,P21,EBIRD,180,NA,NA,1,1,,0,1,1,,Westerly breeze cloud and sun,NA,,NA,Resident population within Sointula and at or below feeder with one band-tailed pigeon feeding with this group. One (Eurasion collared dove) is significantly lighter coloured but it's eyes are similat to others. This resident population has been increasing over the past few years since I have been observing them and appear to be reliant on feeders. Referred to as Ringed Turtle-Doves in older guides. All 27 were seen together with the one Band-tailed-Pigeon.,TRUE
23:52.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,Canada,CA,British Columbia,CA-BC,Mount Waddington,CA-BC-MW,CA-BC_007,NA,,,Pine Island,L3799478,P,50.975891,-127.728668,7/9/16,2:30:00,obsr52199,S30624413,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,0,,"All species reported. <br />Submitted from eBird for iOS, version 1.1.5 Build 44",NA,,NA,Group seen in forest gully behind grassy knoll.,TRUE
35:01.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,40,,,,Canada,CA,British Columbia,CA-BC,Nanaimo,CA-BC-NA,,5,,,Vancouver island university,L1854114,P,49.1550397,-123.9683836,12/17/12,17:00:00,obsr330760,S12401222,Incidental,P20,EBIRD_CAN,NA,NA,NA,1,1,,0,1,0,,,NA,,NA,roosting site,TRUE
41:19.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,Canada,CA,British Columbia,CA-BC,Nanaimo,CA-BC-NA,CA-BC_056,5,,,Qualicum Beach Boardwalk,L2522808,P,49.3547937,-124.448138,1/11/14,14:40:00,obsr221077,S16338613,Traveling,P22,EBIRD_CAN,50,1.5,NA,1,1,,0,1,0,,,NA,,NA,FOY,TRUE
05:14.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,15,,,,Canada,CA,British Columbia,CA-BC,Nanaimo,CA-BC-NA,,5,,,Buttertubs Marsh,L282183,H,49.1730711,-123.9704431,10/2/16,16:05:00,obsr519642,S31864961,Traveling,P22,EBIRD,137,3,NA,1,1,,0,1,0,,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,,NA,I think this is the most I've seen here.,TRUE
25:08.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,11,,,,Canada,CA,British Columbia,CA-BC,Nanaimo,CA-BC-NA,CA-BC_057,5,,,"Our Yard, Bowser",L7143610,P,49.452085,-124.7044373,8/14/18,18:43:00,obsr358020,S47854280,Stationary,P21,EBIRD,20,NA,NA,1,1,,0,1,0,,,NA,,NA,Feeding on seed I scattered on the ground.,TRUE
21:58.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,Canada,CA,British Columbia,CA-BC,Powell River,CA-BC-PW,,5,,,"SeaSide Escape Retreat, Douglas Bay",L4456926,H,49.7716334,-124.3857329,6/4/17,7:30:00,obsr740970,S37496512,Stationary,P21,EBIRD,30,NA,NA,2,1,,0,1,0,,"Love the small birds and learning lots about them, but sure miss my ducks!! Had 3 species of Finches this morning---do appreciate the very pretty melodies between them, the W.C. Sparrows and the BH Grosbeak. :-)",NA,,NA,Side Yard and Treed Side: HUGE number of E.C. Doves this morning!! Toooo many!,TRUE
39:26.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,33,,,,Canada,CA,British Columbia,CA-BC,Sunshine Coast,CA-BC-SC,CA-BC_025,NA,,,Wilson Creek estuary,L2313567,H,49.4383849,-123.7127495,6/13/14,10:15:00,obsr334419,S18777659,Traveling,P22,EBIRD_CAN,45,0.4,NA,1,1,,0,1,1,,,NA,,NA,In trees and on mud on far side,TRUE
01:46.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,36,,,,Canada,CA,British Columbia,CA-BC,Sunshine Coast,CA-BC-SC,CA-BC_025,NA,,,Wilson Creek estuary,L2313567,H,49.4383849,-123.7127495,8/12/14,10:00:00,obsr334419,S19439579,Traveling,P22,EBIRD_CAN,90,0.5,NA,1,1,,0,1,0,,,NA,,NA,In trees next to estuary and on the mud.,TRUE
50:47.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,34,,,,Canada,CA,British Columbia,CA-BC,Sunshine Coast,CA-BC-SC,CA-BC_025,NA,,,Sechelt--Mission Point,L350192,H,49.44051,-123.72275,5/23/17,6:00:00,obsr461976,S37105676,Stationary,P21,EBIRD,75,NA,NA,1,1,,0,1,0,,"Not a cloud in the sky. Ocean dead calm, to start, then slight chop further out. Low tide but few bird on beach, most were birds seen flying by.",NA,,NA,Exact count of birds under feeder,TRUE
14:28.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,16,,,,Canada,CA,British Columbia,CA-BC,Sunshine Coast,CA-BC-SC,CA-BC_025,NA,,,Sechelt--Mission Point,L350192,H,49.44051,-123.72275,5/8/18,18:35:00,obsr461976,S45483608,Traveling,P22,EBIRD,45,0.2,NA,1,1,,0,1,0,,"Low tide, clouding over. Calm seas. Walked down to point near gulls .",NA,,NA,Near house,TRUE
59:15.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,36,,,,Canada,CA,British Columbia,CA-BC,Sunshine Coast,CA-BC-SC,CA-BC_025,NA,,,Sechelt--Mission Point,L350192,H,49.44051,-123.72275,5/10/18,15:25:00,obsr461976,S45548704,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,0,,,NA,,NA,"Dramatic increase in group on ground near feeder, often perching in evergreen closest to ocean on south side",TRUE
28:56.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,14,,,,Canada,CA,British Columbia,CA-BC,Squamish-Lillooet,CA-BC-SL,CA-BC_023,5,,,Squamish--town,L3737903,P,49.7020575,-123.1517601,5/24/15,11:10:00,obsr18366,S23986233,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,0,,driving around before lunch,NA,,NA,in a front yard in town with a feeder,TRUE
03:57.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,30,,,,Canada,CA,British Columbia,CA-BC,Squamish-Lillooet,CA-BC-SL,CA-BC_023,5,,,Squamish River Estuary,L168868,H,49.70507,-123.17841,4/23/18,8:00:00,obsr104795,S44875605,Traveling,P22,EBIRD_CAN,150,3,NA,1,1,,0,1,0,,,NA,,NA,Large flock landing in dense trees - could only estimate the size of the flock - probably have underestimated,TRUE
46:07.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,70,,,,Canada,CA,British Columbia,CA-BC,Skeena-Queen Charlotte,CA-BC-SQ,,5,,,Masset,L3932624,H,54.0095594,-132.1458292,2/7/16,11:20:00,obsr209593,S27370128,Traveling,P22,EBIRD,20,1,NA,1,1,,1,1,1,,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,,NA,Most I've ever seen here in one group,TRUE
08:23.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,Canada,CA,British Columbia,CA-BC,Skeena-Queen Charlotte,CA-BC-SQ,,5,,,CA-BC-Prince Rupert-342 Alberta Pl - 54.3122x-130.3063,L5002059,P,54.312235,-130.306269,1/7/18,10:00:00,obsr408374,S41719099,Stationary,P21,EBIRD,60,NA,NA,1,1,,0,1,0,,,NA,,NA,I'm not sure why I suddenly have so many doves in the yard.  Perhaps they like that I started putting out bird seed with corn in the mix???,TRUE
48:30.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,United States,US,Alaska,US-AK,Haines,US-AK-100,,NA,,,Haines (town),L684556,H,59.2370936,-135.4452896,1/31/15,11:30:00,obsr553146,S21618760,Traveling,P22,EBIRD,120,3.219,NA,2,1,,0,1,1,,"Car observations - North First Ave in Haines, Alaska.  Weather:  Clear, cold and windy.  Temps in the upper teens.",NA,,NA,"Continuing Eurasian Collared-Doves hanging close to feeder on North First Ave in Haines, Alaska.<a href=""https://www.flickr.com/photos/130431861@N07/16387957426"" title=""IMG_9465 by Mike Denker, on Flickr""><img src=""https://farm8.staticflickr.com/7398/16387957426_b5226dc349_z.jpg"" alt=""IMG_9465"" /></a><a href=""https://www.flickr.com/photos/130431861@N07/16412992112"" title=""IMG_9437 by Mike Denker, on Flickr""><img src=""https://farm9.staticflickr.com/8564/16412992112_853a7c0c2d_z.jpg"" alt=""IMG_9437"" /></a><a href=""https://www.flickr.com/photos/130431861@N07/16387957456"" title=""IMG_9443 by Mike Denker, on Flickr""><img src=""https://farm8.staticflickr.com/7438/16387957456_6c667ee057_z.jpg"" alt=""IMG_9443"" /></a>",TRUE
29:48.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,15,,,,United States,US,Alaska,US-AK,Haines,US-AK-100,,NA,,,Haines (town),L684556,H,59.2370936,-135.4452896,7/1/15,15:30:00,obsr284705,S24174148,Traveling,P22,EBIRD,180,3,NA,1,1,,0,1,1,,Walked around town in various directions.,NA,,NA,These were found in and around First Avenue and Lutak Road. It appeared as if one household was putting out cracked corn for the birds on their driveway.,TRUE
32:53.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,United States,US,Alaska,US-AK,Juneau,US-AK-110,,NA,,,Auke Bay - Yard & Point,L270613,P,58.3610546,-134.6455336,7/5/13,,obsr60214,S14579293,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,1,,,NA,,NA,Inidividually counted.  A new high count for the yard-list.,TRUE
32:53.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,United States,US,Alaska,US-AK,Juneau,US-AK-110,,NA,,,Auke Bay - Yard & Point,L270613,P,58.3610546,-134.6455336,8/29/13,,obsr60214,S15044342,Incidental,P20,EBIRD,NA,NA,NA,1,1,,0,1,1,,,NA,,NA,All ten present at the same time ... first time in almost two months.,TRUE
40:18.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,11,,,,United States,US,Alaska,US-AK,Juneau,US-AK-110,,NA,,,Auke Bay - Yard & Point,L270613,P,58.3610546,-134.6455336,8/31/15,,obsr60214,S24835666,Historical,P62,EBIRD_AK,NA,0.161,NA,1,1,,0,1,1,,Termination dust on Mt. McGinnis this afternoon!,NA,,NA,A new Juneau and house-list high count.  All together feeding on the seed spread/thrown at the feeder area.,TRUE
30:01.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,15,,,,United States,US,Alaska,US-AK,Juneau,US-AK-110,,NA,,,Auke Bay - Yard & Point,L270613,P,58.3610546,-134.6455336,9/8/15,,obsr60214,S24947842,Historical,P62,EBIRD_AK,NA,0.161,NA,1,1,,0,1,1,,,NA,,NA,Exact count.  All feeding together at the feeder area.,TRUE
32:53.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,15,,,,United States,US,Alaska,US-AK,Juneau,US-AK-110,,NA,,,Auke Bay - Yard & Point,L270613,P,58.3610546,-134.6455336,9/6/15,,obsr60214,S24919277,Incidental,P20,EBIRD_AK,NA,NA,NA,1,0,,0,1,1,,,NA,,NA,New high count.,TRUE
30:00.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,14,,,,United States,US,Alaska,US-AK,Juneau,US-AK-110,,NA,,,Auke Bay - Yard & Point,L270613,P,58.3610546,-134.6455336,9/5/15,,obsr60214,S24896202,Historical,P62,EBIRD_AK,NA,0.322,NA,1,1,,0,1,1,,,NA,,NA,New high count for Juneau!  All feeding together at the feeder area. Where are they all coming from?,TRUE
17:21.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan--Kathy Ripley's House,L1314916,P,55.4328364,-131.7899323,6/28/10,,obsr170217,S10867418,Incidental,P20,EBIRD,NA,NA,NA,NA,0,,0,1,1,,,NA,,NA,Numbers continually increasing around road system.,TRUE
17:21.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan--Kathy Ripley's House,L1314916,P,55.4328364,-131.7899323,7/23/10,,obsr170217,S10882130,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,1,,Reported by Kathy Ripley at her feeders.,NA,,NA,Kathy reported that she has one potential juvenile at her house now.,TRUE
17:21.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,21,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan--Kathy Ripley's House,L1314916,P,55.4328364,-131.7899323,9/19/10,,obsr170217,S10882205,Incidental,P20,EBIRD,NA,NA,NA,NA,0,,0,1,1,,,NA,,NA,Kathy Ripley reported she now has 21 Eurasian Collared-Doves coming to her feeding operation.,TRUE
17:21.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,47,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan--Kathy Ripley's House,L1314916,P,55.4328364,-131.7899323,10/3/10,,obsr170217,S9306791,Incidental,P20,EBIRD,NA,NA,NA,NA,0,,0,1,1,,Report and photo from Kathy Ripley.,NA,,NA,"Kathy Ripley counted 47 collared-doves at her feeders and took this photo showing about 40 in one shot.  This is the largest concentration of this species to date for Alaska.<a href=""http://www.flickr.com/photos/71000719@N07/6485087199/"" title=""40 Eursaian Collared-Doves Kathy Ripley Fall 2010 by Andy Piston, on Flickr""><img src=""http://farm8.staticflickr.com/7035/6485087199_489776e544.jpg"" alt=""40 Eursaian Collared-Doves Kathy Ripley Fall 2010""></a>",TRUE
06:50.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,10,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,5,,,Ketchikan (town),L1022652,H,55.3427645,-131.6462517,11/6/10,,obsr162787,S12729930,Incidental,P20,EBIRD,NA,NA,NA,3,0,,0,1,0,,"Birded around the Ketchikan area; Steve Heinl, Pat Pourchot, and Jennifer Johnson.",NA,,NA,"10 collared-doves all at Jerry Koerner's feeder, North Point Higgins.",TRUE
09:27.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,15,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan--Mountain Point,L1311850,H,55.2931036,-131.5416026,8/31/11,,obsr162787,S10854240,Incidental,P20,EBIRD,NA,NA,NA,2,0,,0,1,1,,Steve Heinl and Andy Piston.,NA,,NA,Flock of 15 collared-doves hanging around Mountain Point vacant lot.,TRUE
11:12.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan--South Tongass Highway,L1786505,P,55.3011511,-131.5575064,10/9/11,8:40:00,obsr155816,S11972094,Traveling,P22,EBIRD,200,5.472,NA,2,1,,0,1,1,,Birding with S. Heinl,NA,,NA,Mountain point.,TRUE
06:50.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,23,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,5,,,Ketchikan (town),L1022652,H,55.3427645,-131.6462517,1/8/12,,obsr191453,S13100534,Incidental,P20,EBIRD,NA,NA,NA,NA,0,,0,1,1,,Reported by Jerry Koerner.,NA,,NA,Flock of 23 collared-doves at Jerry's North Point Higgins feeder.,TRUE
19:02.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,13,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan--Roosevelt Drive,L1320941,H,55.3049284,-131.5304446,1/4/12,12:40:00,obsr170217,S9501724,Incidental,P20,EBIRD,NA,NA,NA,2,0,,0,1,1,,Birding with Steve Heinl.,NA,,NA,"<a href=""http://www.flickr.com/photos/71000719@N07/6639029525/"" title=""Eurasian Collared-Doves 4 January 2011 A W Piston 001 by Andy Piston, on Flickr""><img src=""http://farm8.staticflickr.com/7150/6639029525_4f5c011184.jpg"" alt=""Eurasian Collared-Doves 4 January 2011 A W Piston 001""></a>",TRUE
12:14.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,23,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan-Jerry Koerner's House,L1312350,P,55.4707539,-131.8068087,1/8/12,10:05:00,obsr170217,S9535439,Stationary,P21,EBIRD,20,NA,NA,3,1,,0,1,1,,Checked Jerry's feeders with Steve Heinl and Jerry Koerner.,NA,,NA,Seen by Jerry earlier in the morning feeding in his heavily seeded driveway.,TRUE
19:02.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,16,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,NA,,,Ketchikan--Roosevelt Drive,L1320941,H,55.3049284,-131.5304446,2/2/12,,obsr170217,S9777459,Incidental,P20,EBIRD,NA,NA,NA,NA,0,,0,1,1,,Reported by Phil Doherty.,NA,,NA,Phil Doherty reported he had 16 collared-doves at his feeders this morning.,TRUE
25:18.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,12,,,,United States,US,Alaska,US-AK,Ketchikan Gateway,US-AK-130,,5,,,Ketchikan (town),L1022652,H,55.3427645,-131.6462517,11/12/12,13:00:00,obsr337884,S12137679,Traveling,P22,EBIRD,180,40.233,NA,1,1,,0,1,1,,"From mtn point to Jerry's feeders pt Higgins. <br />Submitted from BirdLog NA for iOS, version 1.5.1",NA,,NA,Mtn point,TRUE
